company,skills
Arvind Classes,English Proficiency (Written)
Arvind Classes,MS-Office
Arvind Classes,MS-PowerPoint
Arvind Classes,MS-Word
EarthOnly,Adobe Creative Suite
EarthOnly,Adobe Illustrator
EarthOnly,Adobe Photoshop
EarthOnly,Adobe Photoshop Lightroom CC
EarthOnly,Blogging
EarthOnly,Creative Writing
EarthOnly,Design Thinking
EarthOnly,Digital Marketing
EarthOnly,English Proficiency (Spoken)
EarthOnly,English Proficiency (Written)
EarthOnly,Search Engine Optimization (SEO)
EarthOnly,Social Media Marketing
Hairtronics Private Limited,Sales
Hairtronics Private Limited,Sales and Marketing
Cake L'amore,Statistics
Texam,English Proficiency (Spoken)
Texam,English Proficiency (Written)
Texam,MS-Excel
Texam,MS-Office
Radical Logix,Bootstrap
Radical Logix,CakePHP
Radical Logix,CSS
Radical Logix,HTML
Radical Logix,JavaScript
Radical Logix,jQuery
Radical Logix,MySQL
Scoreplus,
Creatink Solutions (OPC) Private Limited,Digital Marketing
Creatink Solutions (OPC) Private Limited,Social Media Marketing
The Souled Store,Accounting
The Souled Store,MS-Office
The Souled Store,Tally
TEchKshetra Info Solutions Private Limited,MS-Excel
TEchKshetra Info Solutions Private Limited,Tally
GoHappy Club,
Hachi With Love,English Proficiency (Spoken)
Hachi With Love,English Proficiency (Written)
Hachi With Love,MS-Excel
Hachi With Love,MS-Office
Radical Logix,MS-Excel
ToothSi,English Proficiency (Spoken)
ToothSi,English Proficiency (Written)
ToothSi,MS-Excel
ToothSi,MS-Office
ToothSi,MS-Word
Redwind Infotech,Blogging
Redwind Infotech,Creative Writing
Redwind Infotech,Digital Marketing
Redwind Infotech,English Proficiency (Written)
Redwind Infotech,Social Media Marketing
Ruby Capital,
Vivaa Consulting,
Sleeping Owls Business Private Limited,Canva
Sleeping Owls Business Private Limited,Content Writing
Sleeping Owls Business Private Limited,Google Analytics
Sleeping Owls Business Private Limited,MS-Excel
Sleeping Owls Business Private Limited,MS-Word
Sleeping Owls Business Private Limited,WordPress
COOX,Facebook Marketing
COOX,Instagram Marketing
COOX,Social Media Marketing
Glazonoid Automates Private Limited,CSS
Glazonoid Automates Private Limited,HTML
Glazonoid Automates Private Limited,Search Engine Optimization (SEO)
MindHind,Android
MindHind,iOS
MindHind,Node.js
MindHind,ReactJS
Resolute AI Software,Android
Resolute AI Software,Cloud Firestore
Resolute AI Software,Firebase
Resolute AI Software,Flutter
Resolute AI Software,GitHub
Resolute AI Software,Google Cloud Computing
Resolute AI Software,Java
Resolute AI Software,JavaScript
Resolute AI Software,Kotlin
Resolute AI Software,User Interface (UI) Development
HVAR Technologies Private Limited,Adobe After Effects
HVAR Technologies Private Limited,Adobe Creative Suite
HVAR Technologies Private Limited,Adobe Illustrator
HVAR Technologies Private Limited,Adobe Indesign
HVAR Technologies Private Limited,Adobe Photoshop
HVAR Technologies Private Limited,Adobe Photoshop Lightroom CC
HVAR Technologies Private Limited,Adobe Premiere Pro
HVAR Technologies Private Limited,CorelDRAW
HVAR Technologies Private Limited,Video Editing
Ubgot Software Private Limited,Digital Marketing
Ubgot Software Private Limited,Email Marketing
Ubgot Software Private Limited,English Proficiency (Spoken)
Ubgot Software Private Limited,English Proficiency (Written)
Ubgot Software Private Limited,MS-Excel
Ubgot Software Private Limited,Social Media Marketing
Hush And Wear,English Proficiency (Spoken)
Hush And Wear,English Proficiency (Written)
Hush And Wear,Hindi Proficiency (Spoken)
Hush And Wear,MS-Excel
Myrsa Technology Solutions Private Limited,.NET
Myrsa Technology Solutions Private Limited,Bootstrap
Myrsa Technology Solutions Private Limited,CSS
Myrsa Technology Solutions Private Limited,HTML
Myrsa Technology Solutions Private Limited,JavaScript
Myrsa Technology Solutions Private Limited,Node.js
Myrsa Technology Solutions Private Limited,PHP
Myrsa Technology Solutions Private Limited,ReactJS
Ken Institute Of Executive Learning,Adobe After Effects
Ken Institute Of Executive Learning,Adobe Illustrator
Ken Institute Of Executive Learning,Adobe Photoshop
Ken Institute Of Executive Learning,Canva
Ken Institute Of Executive Learning,Video Editing
Ken Institute Of Executive Learning,Video Making
The Girlfriend Box,Adobe After Effects
The Girlfriend Box,Adobe Creative Suite
The Girlfriend Box,Adobe Illustrator
The Girlfriend Box,Adobe Indesign
The Girlfriend Box,Adobe Photoshop
The Girlfriend Box,Adobe Photoshop Lightroom CC
The Girlfriend Box,Adobe Premiere Pro
The Girlfriend Box,CorelDRAW
The Girlfriend Box,UI & UX Design
The Girlfriend Box,Video Editing
La Mode Fashion Academy,
Treflo,English Proficiency (Spoken)
Treflo,English Proficiency (Written)
Treflo,MS-Excel
Sachin Gurjar,Adobe Illustrator
Sachin Gurjar,Adobe Photoshop
Sachin Gurjar,Design Thinking
Sachin Gurjar,Video Editing
UpBrinGO,Blogging
UpBrinGO,Creative Writing
UpBrinGO,English Proficiency (Written)
Jarvis Technology & Strategy Consulting,
Conclo Technologies,.NET
Conclo Technologies,CSS
Conclo Technologies,HTML
Conclo Technologies,Java
Conclo Technologies,JavaScript
Nothing Else Matters,Adobe After Effects
Nothing Else Matters,Adobe Creative Suite
Nothing Else Matters,Adobe Flash
Nothing Else Matters,Adobe Indesign
Nothing Else Matters,Adobe Photoshop
Nothing Else Matters,Adobe Premiere Pro
IPREP Learning Solutions,LaTeX
IPREP Learning Solutions,Mathematics
IPREP Learning Solutions,Subject Matter Expert (SME)
FabBox,
EARLY2NINE,Email Marketing
EARLY2NINE,English Proficiency (Written)
EARLY2NINE,MS-Excel
EARLY2NINE,MS-Office
EARLY2NINE,MS-PowerPoint
EARLY2NINE,MS-Word
Belgian Sport,English Proficiency (Spoken)
Belgian Sport,English Proficiency (Written)
Belgian Sport,Hindi Proficiency (Spoken)
Belgian Sport,MS-Excel
Hungry Hormone India,English Proficiency (Spoken)
Hungry Hormone India,English Proficiency (Written)
Hungry Hormone India,MS-Excel
Hungry Hormone India,MS-PowerPoint
La Mode Fashion Academy,
The Twelfth Man,Creative Writing
The Twelfth Man,English Proficiency (Written)
UrbanNaps,Adobe After Effects
UrbanNaps,Adobe Creative Suite
UrbanNaps,Adobe Illustrator
UrbanNaps,Adobe Indesign
UrbanNaps,Adobe Photoshop
UrbanNaps,Adobe Photoshop Lightroom CC
UrbanNaps,Adobe Premiere Pro
UrbanNaps,CorelDRAW
UrbanNaps,UI & UX Design
UrbanNaps,Video Editing
Holiday Bookie Private Limited,English Proficiency (Spoken)
Holiday Bookie Private Limited,MS-Excel
Holiday Bookie Private Limited,Research and Analytics
Nothing Else Matters,Adobe After Effects
Nothing Else Matters,Adobe Illustrator
Nothing Else Matters,Adobe Photoshop
PARKEAR REAL ESTATE,MS-Excel
PARKEAR REAL ESTATE,Sales
PARKEAR REAL ESTATE,Sales and Marketing
PARKEAR REAL ESTATE,Salesforce
My Safe Circle,
MindHind,
Affilytics Private Limited,Adobe After Effects
Affilytics Private Limited,Adobe Premiere Pro
Carnival Fintech Private Limited,Digital Marketing
Carnival Fintech Private Limited,Email Marketing
Carnival Fintech Private Limited,English Proficiency (Spoken)
Carnival Fintech Private Limited,English Proficiency (Written)
Gloify,Flutter
Gloify,REST API
Spotlight Digital,English Proficiency (Written)
Spotlight Digital,Instagram Marketing
Spotlight Digital,Social Media Marketing
Gauge.ro (Lalita Ventures),Arduino
Gauge.ro (Lalita Ventures),Embedded Systems
Gauge.ro (Lalita Ventures),Internet of Things (IoT)
MUKTI,Adobe After Effects
MUKTI,Adobe Photoshop
MUKTI,Adobe Photoshop Lightroom CC
MUKTI,Photography
MUKTI,Video Editing
MUKTI,Video Making
Accounting And Financing Services,
Gloify,Android
Gloify,Java
Gloify,Kotlin
InfyBytes AI Labs Private Limited,English Proficiency (Spoken)
InfyBytes AI Labs Private Limited,English Proficiency (Written)
InfyBytes AI Labs Private Limited,Hindi Proficiency (Spoken)
Meposmart,Digital Marketing
Spacecrafts,3ds Max
Spacecrafts,Adobe Photoshop
Spacecrafts,AutoCAD
Kalpana Enterprises,English Proficiency (Written)
Kalpana Enterprises,MS-Excel
Tales In Our Backpack,Creative Writing
Tales In Our Backpack,Digital Marketing
Tales In Our Backpack,Email Marketing
Tales In Our Backpack,English Proficiency (Spoken)
Tales In Our Backpack,English Proficiency (Written)
Tales In Our Backpack,Instagram Marketing
Tales In Our Backpack,Search Engine Marketing (SEM)
Tales In Our Backpack,Search Engine Optimization (SEO)
Tales In Our Backpack,Social Media Marketing
Kritisha Gifts,Digital Marketing
Kritisha Gifts,Instagram Marketing
Kritisha Gifts,Social Media Marketing
The Finance Fleet,
Godatu,Adobe After Effects
Godatu,Adobe Indesign
Godatu,Adobe Photoshop
Godatu,Adobe Premiere Pro
Godatu,CorelDRAW
Godatu,MS-PowerPoint
Godatu,UI & UX Design
PK & PK JEWELLERS PRIVATE LIMITED,English Proficiency (Spoken)
PK & PK JEWELLERS PRIVATE LIMITED,MS-Excel
PK & PK JEWELLERS PRIVATE LIMITED,MS-Office
PK & PK JEWELLERS PRIVATE LIMITED,MS-PowerPoint
PK & PK JEWELLERS PRIVATE LIMITED,MS-Word
Flatmate.in,English Proficiency (Spoken)
Flatmate.in,MS-Excel
Flatmate.in,Sales and Marketing
Muscle Gene,Adobe Illustrator
Muscle Gene,Adobe Photoshop
Muscle Gene,Adobe Premiere Pro
Muscle Gene,Digital Marketing
Muscle Gene,English Proficiency (Spoken)
Muscle Gene,English Proficiency (Written)
Gamma Draconis Tech Services Private Limited,Blogging
Gamma Draconis Tech Services Private Limited,Copywriting
Gamma Draconis Tech Services Private Limited,Creative Writing
Gamma Draconis Tech Services Private Limited,English Proficiency (Written)
Gamma Draconis Tech Services Private Limited,Hindi Proficiency (Written)
Gamma Draconis Tech Services Private Limited,Social Media Marketing
TensorGo Technologies Private Limited,Algorithms
TensorGo Technologies Private Limited,C++ Programming
TensorGo Technologies Private Limited,Computer Vision
TensorGo Technologies Private Limited,Data Structures
TensorGo Technologies Private Limited,Deep Learning
TensorGo Technologies Private Limited,OpenCV
Kay Array,Adobe Illustrator
Kay Array,Adobe Photoshop
Kay Array,Adobe Premiere Pro
Kay Array,CorelDRAW
Future Gaming,Blogging
Future Gaming,Content Writing
Future Gaming,Creative Writing
Future Gaming,English Proficiency (Written)
Future Gaming,Search Engine Optimization (SEO)
Future Gaming,WordPress
Scholarshipskey,Hindi Proficiency (Spoken)
Scholarshipskey,Sales and Marketing
Novus Immigration Services,
NIDA Wellness,Creative Writing
NIDA Wellness,English Proficiency (Spoken)
NIDA Wellness,Instagram Marketing
NIDA Wellness,Social Media Marketing
Grimbyte Technologies,Blogging
Grimbyte Technologies,Creative Writing
Grimbyte Technologies,Digital Marketing
Grimbyte Technologies,English Proficiency (Written)
Grimbyte Technologies,Search Engine Optimization (SEO)
Grimbyte Technologies,Social Media Marketing
Prominent Law Firm,English Proficiency (Written)
Prominent Law Firm,MS-Office
Prominent Law Firm,MS-Word
In-Min's Foods Private Limited,Digital Marketing
In-Min's Foods Private Limited,Email Marketing
In-Min's Foods Private Limited,English Proficiency (Spoken)
In-Min's Foods Private Limited,English Proficiency (Written)
In-Min's Foods Private Limited,MS-Excel
In-Min's Foods Private Limited,Social Media Marketing
SEOToolsKit,Creative Writing
SEOToolsKit,Digital Marketing
SEOToolsKit,Email Marketing
SEOToolsKit,English Proficiency (Spoken)
SEOToolsKit,Facebook Marketing
SEOToolsKit,Instagram Marketing
SEOToolsKit,Search Engine Marketing (SEM)
SEOToolsKit,Search Engine Optimization (SEO)
SEOToolsKit,Social Media Marketing
Accounting And Financing Services,English Proficiency (Spoken)
Accounting And Financing Services,English Proficiency (Written)
Accounting And Financing Services,MS-Excel
Kotlers Consulting,Blogging
Kotlers Consulting,English Proficiency (Written)
Gurishq Kaur,Audio Editing
Gurishq Kaur,Video Editing
RMgX,Angular 2.0
RMgX,Bootstrap
RMgX,CSS
RMgX,HTML
RMgX,JavaScript
RMgX,MySQL
RMgX,SCSS
RMgX,TypeScript
Digital Ipsum,English Proficiency (Spoken)
Digital Ipsum,English Proficiency (Written)
Digital Ipsum,Hindi Proficiency (Spoken)
Zean Lithos And Company Private Limited,
WebReach Media Private Limited,Creative Writing
WebReach Media Private Limited,English Proficiency (Spoken)
WebReach Media Private Limited,English Proficiency (Written)
WebReach Media Private Limited,Social Media Marketing
Manisha Holiday,English Proficiency (Spoken)
Manisha Holiday,English Proficiency (Written)
Manisha Holiday,MS-Office
RMC Educational Service Centre,Blogging
RMC Educational Service Centre,Creative Writing
RMC Educational Service Centre,English Proficiency (Spoken)
RMC Educational Service Centre,English Proficiency (Written)
RMC Educational Service Centre,Search Engine Optimization (SEO)
Globis Vidya Private Limited,English Proficiency (Spoken)
Globis Vidya Private Limited,English Proficiency (Written)
Globis Vidya Private Limited,Search Engine Optimization (SEO)
Mapping Digiworld Private Limited (MyIndia),Blogging
Mapping Digiworld Private Limited (MyIndia),Creative Writing
Mapping Digiworld Private Limited (MyIndia),English Proficiency (Spoken)
Mapping Digiworld Private Limited (MyIndia),English Proficiency (Written)
CampusTrail Counselling Services,Blogging
CampusTrail Counselling Services,Creative Writing
CampusTrail Counselling Services,English Proficiency (Written)
CampusTrail Counselling Services,Proofreading
Sana Skillpromise Education Private Limited,English Proficiency (Written)
Sana Skillpromise Education Private Limited,MS-Office
Webalar,Creative Writing
Webalar,Digital Marketing
Webalar,English Proficiency (Written)
Webalar,Facebook Marketing
Webalar,Instagram Marketing
Webalar,Search Engine Optimization (SEO)
Webalar,Social Media Marketing
Nidhi S Jain & Company,
Hopaka,Blogging
Hopaka,Digital Marketing
Hopaka,English Proficiency (Written)
Hopaka,Search Engine Optimization (SEO)
Hopaka,Social Media Marketing
Aseem Shrey,
Stay5villas,
Erience Solutions,
Asterism InfoSoft,Android
Asterism InfoSoft,AngularJS
Asterism InfoSoft,Blockchain
Asterism InfoSoft,Digital Marketing
Asterism InfoSoft,iOS
Asterism InfoSoft,Java
Asterism InfoSoft,JavaScript
Asterism InfoSoft,Node.js
Asterism InfoSoft,PHP
Asterism InfoSoft,Digital Marketing
Asterism InfoSoft,English Proficiency (Spoken)
Asterism InfoSoft,English Proficiency (Written)
Asterism InfoSoft,Social Media Marketing
WordoWingss,Content Writing
WordoWingss,Proofreading
WordoWingss,Search Engine Optimization (SEO)
FatakPAY Digital Private Limited,
Asanify Technologies Private Limited,Blogging
Asanify Technologies Private Limited,Creative Writing
Asanify Technologies Private Limited,Digital Marketing
Asanify Technologies Private Limited,English Proficiency (Written)
Asanify Technologies Private Limited,Search Engine Optimization (SEO)
Asanify Technologies Private Limited,WordPress
Penskull,Adobe After Effects
Penskull,Adobe Illustrator
Penskull,Adobe Photoshop
Penskull,UI & UX Design
Penskull,User Interface (UI) Development
Penskull,Wireframing
Ashok Kriplani,Accounting
IJRDO Journal,Digital Marketing
IJRDO Journal,Social Media Marketing
Global Savian Consulting LLP,
AEG Consultancy Services Private Limited,Algorithms
AEG Consultancy Services Private Limited,C++ Programming
AEG Consultancy Services Private Limited,Java
AEG Consultancy Services Private Limited,MATLAB
AEG Consultancy Services Private Limited,PHP
AEG Consultancy Services Private Limited,Python
Dpotli,Creative Writing
Dpotli,Digital Marketing
Dpotli,English Proficiency (Written)
Dpotli,Instagram Marketing
Dpotli,Search Engine Optimization (SEO)
Dpotli,Social Media Marketing
VRS Cosmetics,Creative Writing
VRS Cosmetics,Digital Marketing
VRS Cosmetics,Email Marketing
VRS Cosmetics,English Proficiency (Spoken)
VRS Cosmetics,English Proficiency (Written)
VRS Cosmetics,Facebook Marketing
VRS Cosmetics,Instagram Marketing
VRS Cosmetics,Social Media Marketing
RackBank Datacenters Private Limited,Internet of Things (IoT)
RackBank Datacenters Private Limited,Sales and Marketing
RackBank Datacenters Private Limited,Salesforce
Marketing Espy,Adobe After Effects
Marketing Espy,Adobe Illustrator
Marketing Espy,Adobe Indesign
Marketing Espy,Adobe Photoshop
Marketing Espy,Adobe Premiere Pro
Marketing Espy,CorelDRAW
Marketing Espy,Video Editing
Recruit Logik,
Martini Homes,Creative Writing
Martini Homes,Digital Marketing
Martini Homes,English Proficiency (Spoken)
Martini Homes,English Proficiency (Written)
Martini Homes,Social Media Marketing
SA Technologies,English Proficiency (Spoken)
SA Technologies,Sales
SA Technologies,Sales and Marketing
Anubrain Technology Private Limited,Computer Vision
Anubrain Technology Private Limited,Deep Learning
Anubrain Technology Private Limited,Machine Learning
Anubrain Technology Private Limited,Mathematics
Anubrain Technology Private Limited,Natural Language Processing (NLP)
Anubrain Technology Private Limited,Python
Anubrain Technology Private Limited,R Programming
Idea Usher,
CCBUL,AJAX
CCBUL,Bootstrap
CCBUL,jQuery
CCBUL,JSON
CCBUL,LARAVEL
CCBUL,MySQL
CCBUL,PHP
CCBUL,REST API
Mastork Technologies,Android
Mastork Technologies,Firebase
Mastork Technologies,GitHub
Mastork Technologies,iOS
Mastork Technologies,JavaScript
Mastork Technologies,Node.js
Mastork Technologies,React Native
Mastork Technologies,Redux
Mastork Technologies,REST API
3C Capitals,English Proficiency (Spoken)
3C Capitals,English Proficiency (Written)
3C Capitals,Hindi Proficiency (Spoken)
TechEra Knowledge And Careers,Digital Marketing
TechEra Knowledge And Careers,Email Marketing
TechEra Knowledge And Careers,English Proficiency (Spoken)
TechEra Knowledge And Careers,Event Management
TechEra Knowledge And Careers,Facebook Marketing
TechEra Knowledge And Careers,Instagram Marketing
TechEra Knowledge And Careers,Product Management
TechEra Knowledge And Careers,Salesforce
Dharohar Aroma,Creative Writing
Dharohar Aroma,Digital Marketing
Dharohar Aroma,English Proficiency (Spoken)
Dharohar Aroma,Facebook Marketing
Dharohar Aroma,Instagram Marketing
Dharohar Aroma,Search Engine Marketing (SEM)
Dharohar Aroma,Search Engine Optimization (SEO)
Dharohar Aroma,Social Media Marketing
Coding Junior,English Proficiency (Spoken)
Coding Junior,English Proficiency (Written)
Coding Junior,MS-Excel
Coding Junior,MS-Office
Coding Junior,MS-Word
CupShup,MS-Office
CupShup,Sales and Marketing
Scry Analytics India Private Limited,Digital Marketing
Scry Analytics India Private Limited,Facebook Marketing
Scry Analytics India Private Limited,Instagram Marketing
Scry Analytics India Private Limited,Social Media Marketing
Sorta.club,Accounting
Sorta.club,Email Marketing
Sorta.club,English Proficiency (Spoken)
Sorta.club,English Proficiency (Written)
Sorta.club,MS-Excel
Oorla,Adobe After Effects
Oorla,Adobe Illustrator
Oorla,Adobe Photoshop
Oorla,Adobe Premiere Pro
Oorla,Video Editing
GemSeason,Adobe Photoshop
GemSeason,Adobe Photoshop Lightroom CC
GemSeason,Adobe Premiere Pro
GemSeason,Video Editing
PeaceInfotech Services Private Limited,English Proficiency (Spoken)
PeaceInfotech Services Private Limited,English Proficiency (Written)
PeaceInfotech Services Private Limited,MS-Excel
PeaceInfotech Services Private Limited,MS-Office
PeaceInfotech Services Private Limited,MS-PowerPoint
Zenesys IT & Consultancy Services,English Proficiency (Spoken)
Zenesys IT & Consultancy Services,English Proficiency (Written)
Zenesys IT & Consultancy Services,MS-Excel
Zenesys IT & Consultancy Services,Social Media Marketing
StdMet,Express.js
StdMet,MongoDB
StdMet,Node.js
StdMet,ReactJS
StdMet,React Native
MUKTI,Adobe After Effects
MUKTI,Adobe Illustrator
MUKTI,Adobe Photoshop
MUKTI,CorelDRAW
MUKTI,Video Editing
CFO Buddies,Digital Marketing
CFO Buddies,Email Marketing
CFO Buddies,English Proficiency (Spoken)
CFO Buddies,English Proficiency (Written)
CFO Buddies,MS-Excel
CFO Buddies,Social Media Marketing
PeaceInfotech Services Private Limited,Bootstrap
PeaceInfotech Services Private Limited,CSS
PeaceInfotech Services Private Limited,HTML
PeaceInfotech Services Private Limited,JavaScript
PeaceInfotech Services Private Limited,PHP
Touchkin EServices Private Limited,Adobe After Effects
Touchkin EServices Private Limited,Adobe Illustrator
Touchkin EServices Private Limited,Animation
Folkstrong Private Limited,Blogging
Folkstrong Private Limited,Creative Writing
Folkstrong Private Limited,English Proficiency (Spoken)
Folkstrong Private Limited,English Proficiency (Written)
Folkstrong Private Limited,Search Engine Optimization (SEO)
Quack Quack Communications,Adobe After Effects
Quack Quack Communications,Adobe Creative Suite
Quack Quack Communications,Adobe Illustrator
Quack Quack Communications,Adobe Indesign
Quack Quack Communications,Adobe Photoshop
Quack Quack Communications,Adobe Photoshop Lightroom CC
Quack Quack Communications,Adobe Premiere Pro
Quack Quack Communications,Autodesk Maya
Quack Quack Communications,Blender 3D
Quack Quack Communications,Final Cut Pro
Quack Quack Communications,UI & UX Design
Quack Quack Communications,Video Editing
Brandquest,Adobe Photoshop
Brandquest,Blogging
Brandquest,Canva
Brandquest,Creative Writing
Brandquest,Photography
Brandquest,Video Editing
Brandquest,Video Making
Quack Quack Communications,Creative Writing
Quack Quack Communications,Digital Marketing
Quack Quack Communications,English Proficiency (Spoken)
Quack Quack Communications,English Proficiency (Written)
Quack Quack Communications,Instagram Marketing
Quack Quack Communications,MS-Office
Quack Quack Communications,Search Engine Marketing (SEM)
Quack Quack Communications,Search Engine Optimization (SEO)
Quack Quack Communications,Social Media Marketing
Quack Quack Communications,Video Editing
Quack Quack Communications,Video Making
Shaft Energies Private Limited,Email Marketing
Shaft Energies Private Limited,English Proficiency (Written)
Shaft Energies Private Limited,Hindi Proficiency (Spoken)
Shaft Energies Private Limited,MS-Excel
Shaft Energies Private Limited,MS-Office
Consistent HR Solutions,Digital Marketing
Consistent HR Solutions,English Proficiency (Spoken)
Consistent HR Solutions,English Proficiency (Written)
Consistent HR Solutions,Facebook Marketing
Consistent HR Solutions,Instagram Marketing
Consistent HR Solutions,Search Engine Marketing (SEM)
Consistent HR Solutions,Search Engine Optimization (SEO)
Consistent HR Solutions,Social Media Marketing
Onlinecourseing,
StayQrious India Private Limited,
Ethical Edufabrica Private Limited,
Fragma Data Systems,
Igniad Media,Adobe After Effects
Igniad Media,Adobe Illustrator
Igniad Media,Adobe Photoshop
Igniad Media,Adobe Premiere Pro
Igniad Media,Video Editing
The Speaking Bird,English Proficiency (Spoken)
Sai Shankar Rudra,
LA ITALIA MARBLES,English Proficiency (Spoken)
Alpha Think (Study Abroad),
Saishah Joseph,Facebook Marketing
Saishah Joseph,Instagram Marketing
Saishah Joseph,Social Media Marketing
Bytelearn,C++ Programming
Bytelearn,Python
Saransh's Design Studio,English Proficiency (Spoken)
Saransh's Design Studio,English Proficiency (Written)
Refining Skills Academy (RS Academy),English Proficiency (Spoken)
Refining Skills Academy (RS Academy),English Proficiency (Written)
Refining Skills Academy (RS Academy),MS-Office
Refining Skills Academy (RS Academy),Teaching
Technotreon Intellectual Ventures,Blogging
Technotreon Intellectual Ventures,Creative Writing
Technotreon Intellectual Ventures,English Proficiency (Spoken)
Technotreon Intellectual Ventures,English Proficiency (Written)
Technotreon Intellectual Ventures,MS-Word
Technotreon Intellectual Ventures,Search Engine Optimization (SEO)
Shalini's Indian Fashions,Adobe After Effects
Shalini's Indian Fashions,Adobe Illustrator
Shalini's Indian Fashions,Adobe Photoshop
Shalini's Indian Fashions,Adobe Photoshop Lightroom CC
Shalini's Indian Fashions,Video Editing
Analysed,Android
Analysed,iOS
Analysed,Java
Analysed,Swift
Analysed,Xcode
IIDE Education Private Limited,English Proficiency (Spoken)
IIDE Education Private Limited,English Proficiency (Written)
IIDE Education Private Limited,Google Workspace
IIDE Education Private Limited,MS-Office
IIDE Education Private Limited,Recruitment
IIDE Education Private Limited,Report Writing
IBC Media,English Proficiency (Spoken)
IBC Media,English Proficiency (Written)
IBC Media,Event Management
IBC Media,MS-Excel
IBC Media,MS-Office
IBC Media,MS-PowerPoint
Flyvheel Digital Solutions Private Limited,English Proficiency (Spoken)
Flyvheel Digital Solutions Private Limited,English Proficiency (Written)
Flyvheel Digital Solutions Private Limited,MS-Office
Flyvheel Digital Solutions Private Limited,Recruitment
Midinnings,Adobe Creative Suite
Midinnings,Social Media Marketing
Second Tongue (Institute Of Languages),Digital Marketing
Second Tongue (Institute Of Languages),Email Marketing
Second Tongue (Institute Of Languages),English Proficiency (Spoken)
Second Tongue (Institute Of Languages),English Proficiency (Written)
Second Tongue (Institute Of Languages),MS-Excel
Second Tongue (Institute Of Languages),Social Media Marketing
ARA Resources Private Limited,English Proficiency (Spoken)
ARA Resources Private Limited,English Proficiency (Written)
ARA Resources Private Limited,MS-Excel
Blue Rose Publishers,Creative Writing
Blue Rose Publishers,English Proficiency (Spoken)
Blue Rose Publishers,English Proficiency (Written)
Meru Accounting,CSS
Meru Accounting,HTML
Meru Accounting,JavaScript
Meru Accounting,PHP
Meru Accounting,Search Engine Optimization (SEO)
Meru Accounting,WordPress
Taal Fintech LLP,Financial Modeling
Wilson Wings Private Limited,Adobe Illustrator
Wilson Wings Private Limited,Adobe Photoshop
FxA,Blogging
FxA,Content Writing
FxA,Creative Writing
FxA,English Proficiency (Written)
FxA,Search Engine Optimization (SEO)
Dharohar Aroma,Blogging
Dharohar Aroma,Creative Writing
Dharohar Aroma,Digital Marketing
Dharohar Aroma,English Proficiency (Spoken)
Dharohar Aroma,English Proficiency (Written)
Dharohar Aroma,Search Engine Optimization (SEO)
Dharohar Aroma,Social Media Marketing
Sparks To Ideas,JavaScript
Sparks To Ideas,Node.js
Sparks To Ideas,PHP
Sparks To Ideas,ReactJS
The Turning Point,Blogging
The Turning Point,Creative Writing
The Turning Point,Digital Marketing
The Turning Point,English Proficiency (Written)
The Turning Point,Social Media Marketing
Future Promos & Events Private Limited,MS-Excel
Future Promos & Events Private Limited,MS-PowerPoint
Fresh Duniya Manpower Private Limited,MS-Excel
BRS Retail Private Limited,Email Marketing
BRS Retail Private Limited,Sales and Marketing
BRS Retail Private Limited,Social Media Marketing
Enormous Kart,Digital Marketing
Enormous Kart,Email Marketing
Enormous Kart,English Proficiency (Spoken)
Enormous Kart,English Proficiency (Written)
Enormous Kart,MS-Excel
Enormous Kart,Social Media Marketing
Codeb,Adobe Illustrator
Codeb,Adobe Photoshop
Codeb,Figma
Codeb,UI & UX Design
Tanmay Garments,
Prime Valley,CSS
Prime Valley,HTML
Prime Valley,JavaScript
Prime Valley,WordPress
MAG Studios,jQuery
MAG Studios,MySQL
MAG Studios,PHP
MAG Studios,WordPress
Duende Designs Private Limited,Digital Marketing
Duende Designs Private Limited,English Proficiency (Spoken)
Duende Designs Private Limited,English Proficiency (Written)
Duende Designs Private Limited,MS-Office
Duende Designs Private Limited,Social Media Marketing
TRUST,English Proficiency (Spoken)
TRUST,English Proficiency (Written)
TRUST,MS-Excel
TRUST,MS-Office
TRUST,MS-Word
QuantumLink Communications Private Limited,Android
QuantumLink Communications Private Limited,Eclipse (IDE)
QuantumLink Communications Private Limited,Firebase
QuantumLink Communications Private Limited,Java
QuantumLink Communications Private Limited,Kotlin
QuantumLink Communications Private Limited,REST API
QuantumLink Communications Private Limited,SQLite
Jobpedia Solutions Private Limited,Digital Marketing
Jobpedia Solutions Private Limited,English Proficiency (Spoken)
Jobpedia Solutions Private Limited,English Proficiency (Written)
MyDareBox,Digital Marketing
MyDareBox,Email Marketing
MyDareBox,Facebook Marketing
MyDareBox,Search Engine Marketing (SEM)
MyDareBox,Search Engine Optimization (SEO)
MyDareBox,Social Media Marketing
CloutFlow,Content Marketing
CloutFlow,English Proficiency (Spoken)
CloutFlow,Instagram Marketing
CloutFlow,MS-Excel
CloutFlow,Social Media Marketing
Oxper Marketing Automation LLP,Accounting
Oxper Marketing Automation LLP,English Proficiency (Spoken)
Oxper Marketing Automation LLP,Tally
Helpworx Technology Private Limited,Content Writing
Helpworx Technology Private Limited,Market Research
Helpworx Technology Private Limited,MS-Office
Helpworx Technology Private Limited,Subject Matter Expert (SME)
Recruit Logik,Creative Writing
Recruit Logik,Digital Marketing
Recruit Logik,English Proficiency (Spoken)
Recruit Logik,English Proficiency (Written)
Recruit Logik,Social Media Marketing
