company,skills
Archies Lifestyle,Adobe After Effects
Archies Lifestyle,Adobe Photoshop
Archies Lifestyle,Adobe Premiere Pro
Decathlon Sports India,MS-Excel
UpGrad (UpGrad Education Private Limited),Email Marketing
UpGrad (UpGrad Education Private Limited),English Proficiency (Spoken)
UpGrad (UpGrad Education Private Limited),English Proficiency (Written)
UpGrad (UpGrad Education Private Limited),MS-Excel
BookMyShow,MS-Excel
BookMyShow,Tally
Godrej And Boyce Mfg. Company Limited,English Proficiency (Spoken)
Godrej And Boyce Mfg. Company Limited,English Proficiency (Written)
Godrej And Boyce Mfg. Company Limited,MS-Excel
Godrej And Boyce Mfg. Company Limited,MS-Office
Godrej And Boyce Mfg. Company Limited,MS-Word
Decathlon Sports India Private Limited,Digital Marketing
Decathlon Sports India Private Limited,English Proficiency (Spoken)
Decathlon Sports India Private Limited,English Proficiency (Written)
Decathlon Sports India Private Limited,Sales and Marketing
Decathlon Sport India Private Limited,English Proficiency (Spoken)
Decathlon Sport India Private Limited,Sales and Marketing
Times Internet,
Nykaa Fashion,Fashion Designing
Nykaa Fashion,MS-Excel
Nykaa,Adobe After Effects
Nykaa,Adobe Creative Suite
Nykaa,Adobe Illustrator
Nykaa,Adobe Indesign
Nykaa,Adobe Photoshop
Nykaa,Adobe Photoshop Lightroom CC
Nykaa,Adobe Premiere Pro
Nykaa,CorelDRAW
Nykaa,Video Editing
Reliance Brands Limited,
Aditya Birla Capital,
Decathlon Sports India,English Proficiency (Spoken)
Decathlon Sports India,English Proficiency (Written)
Conde Nast India,
PR Pundit,Creative Writing
PR Pundit,English Proficiency (Spoken)
PR Pundit,English Proficiency (Written)
PR Pundit,MS-Excel
PR Pundit,MS-PowerPoint
Acko General Insurance,Creative Writing
Acko General Insurance,English Proficiency (Written)
Acko General Insurance,Social Media Marketing
Rapido,Digital Marketing
Rapido,Operations
Aditya Birla Capital,
BYJU'S The Learning App,
Muthoot Fincorp Limited,
Think & Learn Private Limited (BYJU'S),Gujarati Proficiency (Spoken)
Think & Learn Private Limited (BYJU'S),Hindi Proficiency (Spoken)
Times Of India,Adobe Illustrator
Times Of India,Adobe Photoshop
Times Of India,Adobe Premiere Pro
Times Of India,CorelDRAW
Times Of India,MS-Excel
Times Of India,MS-Office
Times Of India,MS-PowerPoint
Times Of India,Video Editing
Snapdeal,
L&T Technology Services,
Tata AIA Life Insurance,English Proficiency (Spoken)
