company,perks
Reliance Brands Limited,Job offer
Aditya Birla Capital,Certificate
Aditya Birla Capital,Letter of recommendation
Aditya Birla Capital,Flexible work hours
Decathlon Sports India,Certificate
Decathlon Sports India,Letter of recommendation
Decathlon Sports India,Flexible work hours
Decathlon Sports India,Informal dress code
Decathlon Sports India,5 days a week
Decathlon Sports India,Job offer
Conde Nast India,
PR Pundit,Certificate
PR Pundit,5 days a week
Acko General Insurance,Certificate
Acko General Insurance,Letter of recommendation
Acko General Insurance,Flexible work hours
Acko General Insurance,Informal dress code
Acko General Insurance,5 days a week
Rapido,5 days a week
Aditya Birla Capital,Certificate
Aditya Birla Capital,Letter of recommendation
Aditya Birla Capital,Flexible work hours
Aditya Birla Capital,Informal dress code
Aditya Birla Capital,5 days a week
BYJU'S The Learning App,Certificate
Muthoot Fincorp Limited,Certificate
Muthoot Fincorp Limited,Letter of recommendation
Think & Learn Private Limited (BYJU'S),Certificate
Think & Learn Private Limited (BYJU'S),Letter of recommendation
Think & Learn Private Limited (BYJU'S),Job offer
Times Of India,Certificate
Times Of India,Letter of recommendation
Times Of India,Informal dress code
Times Of India,5 days a week
Snapdeal,Certificate
Snapdeal,Letter of recommendation
Snapdeal,5 days a week
L&T Technology Services,Informal dress code
Tata AIA Life Insurance,
Decathlon Sports India,Certificate
Decathlon Sports India,Letter of recommendation
Decathlon Sports India,Flexible work hours
Decathlon Sports India,Informal dress code
Decathlon Sports India,5 days a week
Policy Bazaar,Certificate
Policy Bazaar,Letter of recommendation
Policy Bazaar,Informal dress code
Policy Bazaar,Job offer
Sportskeeda,Certificate
Tata AIA Life Insurance,Certificate
Fashion TV India,Certificate
Fashion TV India,Letter of recommendation
Fashion TV India,Informal dress code
Fashion TV India,Job offer
Decathlon,Flexible work hours
Decathlon,Informal dress code
Decathlon,5 days a week
Confederation Of Indian Industry (CII),Certificate
Reliance Industries Limited,Informal dress code
Reliance Industries Limited,5 days a week
Muthoot Fincorp Limited,Certificate
Muthoot Fincorp Limited,Letter of recommendation
Dr. A.P.J. Abdul Kalam Centre,Certificate
Dr. A.P.J. Abdul Kalam Centre,Letter of recommendation
Dr. A.P.J. Abdul Kalam Centre,Informal dress code
Times Internet,Certificate
Times Internet,Letter of recommendation
Times Internet,5 days a week
WWF-India,Certificate
WWF-India,Letter of recommendation
WWF-India,Informal dress code
WWF-India,5 days a week
Monster India,Certificate
Monster India,Informal dress code
Monster India,5 days a week
Times Internet,Certificate
UpGrad (UpGrad Education Private Limited),Certificate
UpGrad (UpGrad Education Private Limited),Letter of recommendation
UpGrad (UpGrad Education Private Limited),Flexible work hours
UpGrad (UpGrad Education Private Limited),Informal dress code
UpGrad (UpGrad Education Private Limited),Job offer
Decathlon Sports India,Certificate
Decathlon Sports India,Letter of recommendation
Decathlon Sports India,Informal dress code
NIIT Foundation,Certificate
Saregama India Limited,Certificate
Saregama India Limited,Flexible work hours
